2026-09-24 12:50:09 INFO     Handling a graph request on /api/mp/models/graph?operationName=GetModelViewPrefetch&variables=%7B%22viewLookup%22%3A%22default%22%2C%22modelId%22%3A%22JgaZQe7xn5N%22%2C%22includeDisabled%22%3Afalse%2C%22includeLayers%22%3Atrue%7D&extensions=%7B%22persistedQuery%22%3A%7B%22version%22%3A1%2C%22sha256Hash%22%3A%22100e6059ba15186f36a825e6224513a77cf3ca0c32be2abe0aee47649abed382%22%7D%7D: graph of operationName: GetModelViewPrefetch we are handling internally
2026-09-24 12:50:09 INFO     Handling a graph request on /api/mp/models/graph?operationName=GetSnapshots&variables=%7B%22modelId%22%3A%22JgaZQe7xn5N%22%7D&extensions=%7B%22persistedQuery%22%3A%7B%22version%22%3A1%2C%22sha256Hash%22%3A%226cc214b557ce3a722b973e119b784c245cae184fc099db44c17ccf3704aeeea2%22%7D%7D: graph of operationName: GetSnapshots we are handling internally
2026-09-24 12:50:09 WARNING  ###### 404 error: /showcase-sdk/plugins/published/compass/1.0.14/plugin.json may not be downloading everything right
2026-09-24 12:50:09 WARNING  ###### 404 error: /images/matterport-logo-white-r.svg may not be downloading everything right
2026-09-24 12:50:10 INFO     Handling a graph request on /api/mp/models/graph?operationName=GetRoomBounds&variables=%7B%22modelId%22%3A%22JgaZQe7xn5N%22%7D&extensions=%7B%22persistedQuery%22%3A%7B%22version%22%3A1%2C%22sha256Hash%22%3A%22fb33f266415124366000467bd035b80b27c9a47efc21683cd5d07dc1eb013389%22%7D%7D: graph of operationName: GetRoomBounds we are handling internally
2026-09-24 12:50:10 WARNING  ###### 404 error: /images/logo-white.svg may not be downloading everything right
2026-09-24 12:50:11 INFO     Redirecting /models/7b65e66514b54366b3a13fe422755cf4/assets/mesh_tiles/~/1/lod1_room0_chunk64_000.jpg?t=2-e623053d96158217aa09cf77459cdd3ad8ec2883-1790330854-1&k=models%2F7b65e66514b54366b3a13fe422755cf4%2Fassets%2Fmesh_tiles&crop=512,512,x0,y0&imgopt=1 => /models/7b65e66514b54366b3a13fe422755cf4/assets/mesh_tiles/~/1/lod1_room0_chunk64_000.jpgcrop=512,512,x0,y0.jpg as dollhouse/floorplan texture request that we have downloaded, better than generic texture file
2026-09-24 12:50:11 INFO     Redirecting /models/7b65e66514b54366b3a13fe422755cf4/assets/mesh_tiles/~/1/lod1_room0_chunk64_000.jpg?t=2-e623053d96158217aa09cf77459cdd3ad8ec2883-1790330854-1&k=models%2F7b65e66514b54366b3a13fe422755cf4%2Fassets%2Fmesh_tiles&crop=512,512,x0,y0.25&imgopt=1 => /models/7b65e66514b54366b3a13fe422755cf4/assets/mesh_tiles/~/1/lod1_room0_chunk64_000.jpgcrop=512,512,x0,y0.25.jpg as dollhouse/floorplan texture request that we have downloaded, better than generic texture file
2026-09-24 12:50:11 INFO     Redirecting /models/7b65e66514b54366b3a13fe422755cf4/assets/mesh_tiles/~/1/lod1_room0_chunk64_000.jpg?t=2-e623053d96158217aa09cf77459cdd3ad8ec2883-1790330854-1&k=models%2F7b65e66514b54366b3a13fe422755cf4%2Fassets%2Fmesh_tiles&crop=512,512,x0,y0.5&imgopt=1 => /models/7b65e66514b54366b3a13fe422755cf4/assets/mesh_tiles/~/1/lod1_room0_chunk64_000.jpgcrop=512,512,x0,y0.5.jpg as dollhouse/floorplan texture request that we have downloaded, better than generic texture file
2026-09-24 12:50:11 INFO     Redirecting /models/7b65e66514b54366b3a13fe422755cf4/assets/mesh_tiles/~/1/lod1_room0_chunk64_000.jpg?t=2-e623053d96158217aa09cf77459cdd3ad8ec2883-1790330854-1&k=models%2F7b65e66514b54366b3a13fe422755cf4%2Fassets%2Fmesh_tiles&crop=512,512,x0,y0.75&imgopt=1 => /models/7b65e66514b54366b3a13fe422755cf4/assets/mesh_tiles/~/1/lod1_room0_chunk64_000.jpgcrop=512,512,x0,y0.75.jpg as dollhouse/floorplan texture request that we have downloaded, better than generic texture file
2026-09-24 12:50:11 INFO     Redirecting /models/7b65e66514b54366b3a13fe422755cf4/assets/mesh_tiles/~/1/lod1_room0_chunk64_000.jpg?t=2-e623053d96158217aa09cf77459cdd3ad8ec2883-1790330854-1&k=models%2F7b65e66514b54366b3a13fe422755cf4%2Fassets%2Fmesh_tiles&crop=512,512,x0.25,y0&imgopt=1 => /models/7b65e66514b54366b3a13fe422755cf4/assets/mesh_tiles/~/1/lod1_room0_chunk64_000.jpgcrop=512,512,x0.25,y0.jpg as dollhouse/floorplan texture request that we have downloaded, better than generic texture file
2026-09-24 12:50:11 INFO     Redirecting /models/7b65e66514b54366b3a13fe422755cf4/assets/mesh_tiles/~/1/lod1_room0_chunk64_000.jpg?t=2-e623053d96158217aa09cf77459cdd3ad8ec2883-1790330854-1&k=models%2F7b65e66514b54366b3a13fe422755cf4%2Fassets%2Fmesh_tiles&crop=512,512,x0.25,y0.25&imgopt=1 => /models/7b65e66514b54366b3a13fe422755cf4/assets/mesh_tiles/~/1/lod1_room0_chunk64_000.jpgcrop=512,512,x0.25,y0.25.jpg as dollhouse/floorplan texture request that we have downloaded, better than generic texture file
2026-09-24 12:50:11 INFO     Redirecting /models/7b65e66514b54366b3a13fe422755cf4/assets/mesh_tiles/~/1/lod1_room0_chunk64_000.jpg?t=2-e623053d96158217aa09cf77459cdd3ad8ec2883-1790330854-1&k=models%2F7b65e66514b54366b3a13fe422755cf4%2Fassets%2Fmesh_tiles&crop=512,512,x0.25,y0.5&imgopt=1 => /models/7b65e66514b54366b3a13fe422755cf4/assets/mesh_tiles/~/1/lod1_room0_chunk64_000.jpgcrop=512,512,x0.25,y0.5.jpg as dollhouse/floorplan texture request that we have downloaded, better than generic texture file
2026-09-24 12:50:11 INFO     Redirecting /models/7b65e66514b54366b3a13fe422755cf4/assets/mesh_tiles/~/1/lod1_room0_chunk64_000.jpg?t=2-e623053d96158217aa09cf77459cdd3ad8ec2883-1790330854-1&k=models%2F7b65e66514b54366b3a13fe422755cf4%2Fassets%2Fmesh_tiles&crop=512,512,x0.25,y0.75&imgopt=1 => /models/7b65e66514b54366b3a13fe422755cf4/assets/mesh_tiles/~/1/lod1_room0_chunk64_000.jpgcrop=512,512,x0.25,y0.75.jpg as dollhouse/floorplan texture request that we have downloaded, better than generic texture file
2026-09-24 12:50:11 INFO     Redirecting /models/7b65e66514b54366b3a13fe422755cf4/assets/mesh_tiles/~/1/lod1_room0_chunk64_000.jpg?t=2-e623053d96158217aa09cf77459cdd3ad8ec2883-1790330854-1&k=models%2F7b65e66514b54366b3a13fe422755cf4%2Fassets%2Fmesh_tiles&crop=512,512,x0.5,y0&imgopt=1 => /models/7b65e66514b54366b3a13fe422755cf4/assets/mesh_tiles/~/1/lod1_room0_chunk64_000.jpgcrop=512,512,x0.5,y0.jpg as dollhouse/floorplan texture request that we have downloaded, better than generic texture file
2026-09-24 12:50:11 INFO     Redirecting /models/7b65e66514b54366b3a13fe422755cf4/assets/mesh_tiles/~/1/lod1_room0_chunk64_000.jpg?t=2-e623053d96158217aa09cf77459cdd3ad8ec2883-1790330854-1&k=models%2F7b65e66514b54366b3a13fe422755cf4%2Fassets%2Fmesh_tiles&crop=512,512,x0.5,y0.25&imgopt=1 => /models/7b65e66514b54366b3a13fe422755cf4/assets/mesh_tiles/~/1/lod1_room0_chunk64_000.jpgcrop=512,512,x0.5,y0.25.jpg as dollhouse/floorplan texture request that we have downloaded, better than generic texture file
2026-09-24 12:50:11 INFO     Redirecting /models/7b65e66514b54366b3a13fe422755cf4/assets/mesh_tiles/~/1/lod1_room0_chunk64_000.jpg?t=2-e623053d96158217aa09cf77459cdd3ad8ec2883-1790330854-1&k=models%2F7b65e66514b54366b3a13fe422755cf4%2Fassets%2Fmesh_tiles&crop=512,512,x0.5,y0.5&imgopt=1 => /models/7b65e66514b54366b3a13fe422755cf4/assets/mesh_tiles/~/1/lod1_room0_chunk64_000.jpgcrop=512,512,x0.5,y0.5.jpg as dollhouse/floorplan texture request that we have downloaded, better than generic texture file
